Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Travelling,4G,5,2,24.870378,92.56000999999999,Assam
RJio,Indoor,4G,5,2,15.481025699999998,78.48612697,Andhra Pradesh
Airtel,Outdoor,4G,5,2,19.98594403,73.78534335,Maharashtra
Idea,Indoor,3G,5,2,23.02993753,72.55915633,Gujarat
RJio,Outdoor,4G,1,1,21.47390422,83.88683723,Odisha
Idea,Indoor,3G,2,1,28.5896756,77.31584509999999,Uttar Pradesh
RJio,Travelling,4G,1,1,17.33216767,78.52772331,Telangana
Vodafone,Indoor,4G,1,1,11.076755499999999,77.3414801,Tamil Nadu
RJio,Outdoor,4G,3,2,19.165272,72.84952,Maharashtra
RJio,Outdoor,4G,4,2,25.08727667,71.45387333,Rajasthan
RJio,Outdoor,4G,1,1,13.0266613,77.6620295,Karnataka
RJio,Outdoor,4G,4,2,19.0328863,72.85630040000001,Maharashtra
RJio,Outdoor,4G,3,2,16.51683318,80.62342631,Andhra Pradesh
RJio,Travelling,4G,5,2,23.234474,77.42258000000001,Madhya Pradesh
Vodafone,Indoor,4G,2,1,22.5796994,88.3003888,West Bengal
Vodafone,Outdoor,2G,4,2,23.1523452,88.13903969,West Bengal
Vodafone,Outdoor,3G,5,2,10.95381062,76.97156795,Tamil Nadu
Idea,Indoor,4G,5,2,30.19218212,74.95903391,Punjab
RJio,Indoor,4G,3,2,16.70398167,81.10584,Andhra Pradesh
RJio,Indoor,4G,5,2,12.99126059,77.54965,Karnataka
Airtel,Outdoor,2G,1,1,27.59436706,78.04710137,Uttar Pradesh
RJio,Indoor,4G,1,1,22.06556067,81.67962845,Chhattisgarh
RJio,Outdoor,4G,5,2,22.09820216,87.75277257,West Bengal
Idea,Outdoor,3G,4,2,28.602000899999997,77.0677176,NCT
Vodafone,Indoor,3G,4,2,28.55586961,77.27582812,Uttar Pradesh
Airtel,Travelling,4G,5,2,17.372894,78.54835,Telangana
Idea,Outdoor,3G,5,2,28.615129999999997,77.3779,Uttar Pradesh
RJio,Indoor,4G,3,2,19.0570076,72.83280359999999,Maharashtra
RJio,Indoor,4G,4,2,28.66500414,77.05705549,NCT
RJio,Indoor,4G,4,2,8.492039199999999,76.94448114,Kerala
RJio,Indoor,4G,1,0,13.3109384,80.0342627,Tamil Nadu
RJio,Outdoor,4G,4,2,19.044026300000002,72.84006679999999,Maharashtra
RJio,Indoor,4G,5,2,25.3342242,74.63752640000001,Rajasthan
RJio,Indoor,4G,5,2,21.77002386,84.01859681,Odisha
Vodafone,Travelling,3G,4,2,13.000922000000001,80.26178,Tamil Nadu
Vodafone,Indoor,4G,5,2,20.363829100000004,72.9223433,Gujarat
RJio,Indoor,4G,4,2,19.0200079,72.84165970000001,Maharashtra
RJio,Travelling,4G,2,1,18.5115159,73.84540240000001,Maharashtra
RJio,Outdoor,4G,3,2,20.71859123,77.00991382,Maharashtra
RJio,Indoor,4G,2,1,22.5800062,88.3018225,West Bengal
Idea,Indoor,4G,2,1,12.0469436,75.52380723,Kerala
Vodafone,Indoor,4G,3,2,20.38266965,72.90167925,Gujarat
RJio,Indoor,4G,3,2,19.01006245,73.03275474,Maharashtra
