Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
BSNL,Indoor,3G,5,Satisfactory,23.2166537,77.3919676,Madhya Pradesh
RJio,Travelling,4G,5,Satisfactory,22.995662300000003,72.5199281,Gujarat
Idea,Indoor,4G,5,Satisfactory,19.98986106,72.73748014,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,11.024396099999999,77.0045002,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,16.83623333,74.59041667,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,28.54353307,77.0437682,Haryana
RJio,Indoor,4G,5,Satisfactory,29.6729032,77.00749909999999,Haryana
Airtel,Indoor,4G,5,Satisfactory,22.54256691,88.36252011,West Bengal
MTNL,Outdoor,4G,5,Satisfactory,19.02108506,72.84287262,Maharashtra
Vodafone,Indoor,4G,5,Satisfactory,28.53510666,77.35337216,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,18.49968487,73.86477381,Maharashtra
Airtel,Outdoor,4G,2,Poor Voice Quality,12.970147,77.56524,Karnataka
RJio,Outdoor,4G,5,Satisfactory,26.919036600000005,75.8013161,Rajasthan
RJio,Outdoor,4G,5,Satisfactory,22.102005600000002,85.3841542,Odisha
RJio,Indoor,4G,5,Satisfactory,24.74199333,87.82076833,West Bengal
RJio,Indoor,4G,4,Satisfactory,19.17082154,72.8778906,Maharashtra
RJio,Indoor,4G,5,Satisfactory,12.83619468,77.68726448,Karnataka
Airtel,Indoor,4G,5,Satisfactory,10.98716945,78.06744659,Tamil Nadu
Airtel,Travelling,3G,4,Satisfactory,10.493045,78.72628,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,21.3487594,83.6372877,Odisha
Vodafone,Travelling,4G,4,Satisfactory,22.64212942,88.43447404,West Bengal
Airtel,Outdoor,4G,2,Poor Voice Quality,15.394392999999999,75.090294,Karnataka
Vodafone,Travelling,4G,4,Satisfactory,18.55407308,73.84845629,Maharashtra
Idea,Indoor,3G,4,Satisfactory,17.354125699999997,78.41870279999999,Telangana
Airtel,Indoor,4G,1,Call Dropped,19.05016575,72.90423798,Maharashtra
Airtel,Outdoor,3G,1,Call Dropped,25.12377868,76.86793632,Rajasthan
RJio,Indoor,4G,4,Satisfactory,17.4611289,78.4791917,Telangana
Airtel,Indoor,4G,5,Satisfactory,22.54254411,88.36261894,West Bengal
RJio,Indoor,4G,5,Satisfactory,18.5726508,73.87971309999999,Maharashtra
RJio,Indoor,4G,4,Satisfactory,21.1177831,79.10816161,Maharashtra
RJio,Travelling,4G,4,Satisfactory,23.2051669,72.6279936,Gujarat
RJio,Indoor,4G,4,Satisfactory,26.3696175,75.93452979999999,Rajasthan
Airtel,Indoor,3G,1,Poor Voice Quality,28.452590500000003,77.09701609999999,Haryana
Airtel,Travelling,4G,5,Satisfactory,28.59785141,77.30841384,Uttar Pradesh
Airtel,Outdoor,2G,5,Satisfactory,11.3572658,79.08597598,Tamil Nadu
RJio,Outdoor,4G,2,Poor Voice Quality,30.710146,76.7112,Punjab
RJio,Outdoor,4G,5,Satisfactory,26.91170879,75.73834542,Rajasthan
RJio,Outdoor,4G,3,Satisfactory,28.500291600000004,77.482763,Uttar Pradesh
Airtel,Indoor,4G,4,Satisfactory,11.030234199999999,77.0397482,Tamil Nadu
Vodafone,Travelling,4G,4,Satisfactory,18.62837121,73.78486577,Maharashtra
Airtel,Indoor,4G,1,Call Dropped,25.13794434,76.88152454,Rajasthan
RJio,Outdoor,4G,4,Satisfactory,19.2254861,72.85616340000001,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,23.80771,87.80587333,West Bengal
RJio,Outdoor,4G,4,Satisfactory,25.570303,83.96862,Bihar
RJio,Indoor,4G,1,Poor Voice Quality,25.5928755,85.1394349,Bihar
RJio,Outdoor,4G,4,Satisfactory,19.702492499999998,75.0102822,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.044250100000003,72.8643942,Maharashtra
Airtel,Travelling,3G,4,Satisfactory,19.176085,72.80906999999999,Maharashtra
RJio,Travelling,4G,5,Satisfactory,12.98740909,80.21840258,Tamil Nadu
Airtel,Outdoor,4G,5,Satisfactory,17.689384,83.00984,Andhra Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,22.6841207,72.8594166,Gujarat
Airtel,Outdoor,4G,5,Satisfactory,28.482056,77.06642,Haryana
RJio,Indoor,4G,4,Satisfactory,19.841949300000003,75.2287132,Maharashtra
Idea,Indoor,4G,5,Satisfactory,18.5154608,73.6842046,Maharashtra
